Жил х сечение;Сечение фазы;Сечение заземления;Iдоп., ф. укладки T1Д;Iдоп., ф. укладки T2-;Iдоп., ф. укладки H1Д;Iдоп., ф. укладки H2-;Диаметр, мм;r, Ом/км;x, Ом/км;r0, Ом/км;x0, Ом/км
1x1,5;1,5;;30,00;30,00;22,00;22,00;6,70;14,80;0,18;15,61;1,81
1x2,5;2,5;;39,00;39,00;30,00;30,00;6,70;8,91;0,17;9,61;1,77
1x4;4;;50,00;50,00;39,00;39,00;6,70;5,57;0,14;6,21;1,73
1x6;6;;62,00;62,00;50,00;50,00;7,20;3,71;0,14;4,07;1,69
1x10;10;;83,00;83,00;68,00;68,00;8,00;2,24;0,12;2,66;1,65
1x16;16;;107,00;107,00;89,00;89,00;9,80;1,41;0,11;1,86;1,61
1x25;25;;137,00;137,00;121,00;121,00;11,30;0,89;0,11;1,38;1,57
1x35;35;;163,00;163,00;147,00;147,00;12,30;0,64;0,10;1,14;1,54
1x50;50;;194,00;194,00;179,00;179,00;13,90;0,47;0,10;0,96;1,51
1x70;70;;237,00;237,00;226,00;226,00;15,60;0,33;0,10;0,83;1,48
1x95;95;;285,00;285,00;280,00;280,00;17,40;0,24;0,10;0,75;1,45
1x120;120;;324,00;324,00;326,00;326,00;19,20;0,19;0,09;0,71;1,43
1x150;150;;364,00;364,00;373,00;373,00;20,90;0,15;0,09;0,67;1,41
1x185;185;;412,00;412,00;431,00;431,00;22,80;0,12;0,09;0,65;1,39
1x240;240;;477,00;477,00;512,00;512,00;25,80;0,09;0,09;0,62;1,36
1x400;400;;612,00;612,00;685,00;685,00;33,00;0,06;0,09;0,62;1,36
3x1,5;1,5;1,5;27,00;27,00;21,00;21,00;14,80;15,10;0,12;15,61;1,81
3x2,5;2,5;2,5;36,00;36,00;27,00;27,00;15,60;9,08;0,11;9,61;1,77
3x4;4;4;47,00;47,00;36,00;36,00;17,50;5,68;0,10;6,21;1,73
3x6;6;6;59,00;59,00;46,00;46,00;18,50;3,54;0,09;4,07;1,69
3x10;10;10;79,00;79,00;63,00;63,00;20,30;2,13;0,09;2,66;1,65
3x16;16;16;102,00;102,00;84,00;84,00;24,00;1,33;0,08;1,86;1,61
3x25;25;25;133,00;133,00;112,00;112,00;26,40;0,85;0,08;1,38;1,57
3x35;35;35;158,00;158,00;137,00;137,00;28,50;0,61;0,08;1,14;1,54
3x50;50;50;187,00;187,00;167,00;167,00;31,80;0,43;0,08;0,96;1,51
3x70;70;70;231,00;231,00;211,00;211,00;35,70;0,30;0,07;0,83;1,48
3x95;95;95;279,00;279,00;261,00;261,00;39,60;0,22;0,06;0,75;1,45
3x120;120;120;317,00;317,00;302,00;302,00;42,20;0,18;0,06;0,71;1,43
3x150;150;150;358,00;358,00;346,00;346,00;46,00;0,14;0,06;0,67;1,41
3x185;185;185;405,00;405,00;397,00;397,00;50,10;0,12;0,06;0,65;1,39
3x240;240;240;471,00;471,00;472,00;472,00;55,70;0,09;0,06;0,62;1,36
3x16/10;16;16;102,00;102,00;84,00;84,00;21,00;1,33;0,09;2,07;1,31
3x25/16;25;16;133,00;133,00;112,00;112,00;24,00;0,85;0,09;1,63;1,11
3x35/16;35;16;158,00;158,00;137,00;137,00;26,00;0,61;0,09;1,37;1,09
3x50/25;50;25;187,00;187,00;167,00;167,00;31,00;0,43;0,09;1,18;0,88
3x70/35;70;35;231,00;231,00;211,00;211,00;35,00;0,30;0,07;1,01;0,65
3x95/50;95;50;279,00;279,00;261,00;261,00;40,00;0,22;0,07;0,84;0,54
3x120/70;120;70;317,00;317,00;302,00;302,00;44,00;0,18;0,07;0,70;0,47
3x150/70;150;70;358,00;358,00;346,00;346,00;47,00;0,14;0,07;0,66;0,42
3x185/95;185;95;405,00;405,00;397,00;397,00;53,00;0,12;0,07;0,54;0,34
3x240/120;240;120;471,00;471,00;472,00;472,00;60,00;0,09;0,06;0,45;0,25
4x1,5;1,5;1,5;25,11;25,11;19,53;19,53;10,20;15,10;0,12;8,14;1,79
4x2,5;2,5;2,5;33,48;33,48;25,11;25,11;11,10;9,08;0,11;6,84;1,69
4x4;4;4;43,71;43,71;33,48;33,48;13,20;5,68;0,10;5,54;1,59
4x6;6;6;54,87;54,87;42,78;42,78;14,50;3,54;0,10;4,24;1,49
4x10;10;10;73,47;73,47;58,59;58,59;16,40;2,13;0,10;2,88;1,34
4x16;16;16;94,86;94,86;78,12;78,12;21,40;1,33;0,09;2,12;1,14
4x25;25;16;123,69;123,69;104,16;104,16;25,40;0,86;0,09;1,63;0,91
4x35;35;16;146,94;146,94;127,41;127,41;27,80;0,61;0,09;1,33;0,74
4x50;50;25;173,91;173,91;155,31;155,31;31,90;0,43;0,09;1,05;0,58
4x70;70;35;214,83;214,83;196,23;196,23;30,00;0,30;0,07;0,85;0,42
4x95;95;50;259,47;259,47;242,73;242,73;33,70;0,22;0,07;0,66;0,35
4x120;120;70;294,81;294,81;280,86;280,86;37,20;0,18;0,07;0,54;0,31
4x150;150;70;332,94;332,94;321,78;321,78;41,20;0,14;0,07;0,45;0,28
4x185;185;95;376,65;376,65;369,21;369,21;45,50;0,12;0,07;0,37;0,27
4x240;240;120;438,03;438,03;438,96;438,96;51,20;0,09;0,06;0,29;0,25
5x1,5;1,5;1,5;25,11;25,11;19,53;19,53;11,00;15,10;0,12;26,02;1,81
5x2,5;2,5;2,5;33,48;33,48;25,11;25,11;12,10;9,08;0,11;16,02;1,77
5x4;4;4;43,71;43,71;33,48;33,48;14,50;5,68;0,10;10,35;1,73
5x6;6;6;54,87;54,87;42,78;42,78;15,90;3,54;0,10;6,78;1,69
5x10;10;10;73,47;73,47;58,59;58,59;18,40;2,13;0,10;4,43;1,65
5x16;16;16;94,86;94,86;78,12;78,12;23,00;1,33;0,09;3,10;1,61
5x25;25;25;123,69;123,69;104,16;104,16;28,20;0,86;0,09;2,30;1,57
5x35;35;35;146,94;146,94;127,41;127,41;30,90;0,61;0,09;1,90;1,54
5x50;50;50;173,91;173,91;155,31;155,31;32,00;0,43;0,09;1,60;1,51
5x70;70;70;214,83;214,83;196,23;196,23;36,40;0,30;0,07;1,38;1,48
5x95;95;95;259,47;259,47;242,73;242,73;41,70;0,22;0,07;1,25;1,45
5x120;120;120;294,81;294,81;280,86;280,86;46,10;0,18;0,07;1,18;1,43
5x150;150;150;332,94;332,94;321,78;321,78;50,80;0,14;0,07;1,12;1,41
5x185;185;185;376,65;376,65;369,21;369,21;56,00;0,12;0,07;1,08;1,39
5x240;240;240;438,03;438,03;438,96;438,96;63,20;0,09;0,06;1,03;1,36
